,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
14,25,57,0.305,35.0,95.7,101.4,-5.87,2015,Orlando Magic
0,51,31,0.622,—,102.8,98.6,4.41,2015,Portland Trail Blazers*
1,45,37,0.549,6.0,104.0,101.8,2.47,2015,Oklahoma City Thunder
2,38,44,0.463,13.0,95.1,94.9,0.71,2015,Utah Jazz
3,30,52,0.366,21.0,101.5,105.0,-3.07,2015,Denver Nuggets
4,16,66,0.195,35.0,97.8,106.5,-8.0,2015,Minnesota Timberwolves
5,67,15,0.817,—,110.0,99.9,10.01,2015,Golden State Warriors*
6,56,26,0.683,11.0,106.7,100.1,6.8,2015,Los Angeles Clippers*
7,39,43,0.476,28.0,102.4,103.3,-0.38,2015,Phoenix Suns
8,29,53,0.354,38.0,101.3,105.0,-3.07,2015,Sacramento Kings
9,21,61,0.256,46.0,98.5,105.3,-6.17,2015,Los Angeles Lakers
10,56,26,0.683,—,103.9,100.5,3.82,2015,Houston Rockets*
11,55,27,0.671,1.0,98.3,95.1,3.62,2015,Memphis Grizzlies*
12,55,27,0.671,1.0,103.2,97.0,6.34,2015,San Antonio Spurs*
13,50,32,0.61,6.0,105.2,102.3,3.36,2015,Dallas Mavericks*
14,45,37,0.549,11.0,99.4,98.6,1.13,2015,New Orleans Pelicans*
0,56,26,0.683,—,102.7,98.2,4.08,2016,Toronto Raptors*
1,48,34,0.585,8.0,105.7,102.5,2.84,2016,Boston Celtics*
2,32,50,0.39,24.0,98.4,101.1,-2.74,2016,New York Knicks
3,21,61,0.256,35.0,98.6,106.0,-7.12,2016,Brooklyn Nets
4,10,72,0.122,46.0,97.4,107.6,-9.92,2016,Philadelphia 76ers
5,57,25,0.695,—,104.3,98.3,5.45,2016,Cleveland Cavaliers*
6,45,37,0.549,12.0,102.2,100.5,1.62,2016,Indiana Pacers*
7,44,38,0.537,13.0,102.0,101.4,0.43,2016,Detroit Pistons*
8,42,40,0.512,15.0,101.6,103.1,-1.46,2016,Chicago Bulls
9,33,49,0.402,24.0,99.0,103.2,-3.98,2016,Milwaukee Bucks
10,48,34,0.585,—,100.0,98.4,1.5,2016,Miami Heat*
11,48,34,0.585,—,102.8,99.2,3.49,2016,Atlanta Hawks*
12,48,34,0.585,—,103.4,100.7,2.36,2016,Charlotte Hornets*
13,41,41,0.5,7.0,104.1,104.6,-0.5,2016,Washington Wizards
14,35,47,0.427,13.0,102.1,103.7,-1.68,2016,Orlando Magic
0,55,27,0.671,—,110.2,102.9,7.09,2016,Oklahoma City Thunder*
1,44,38,0.537,11.0,105.1,104.3,0.98,2016,Portland Trail Blazers*
2,40,42,0.488,15.0,97.7,95.9,1.84,2016,Utah Jazz
3,33,49,0.402,22.0,101.9,105.0,-2.81,2016,Denver Nuggets
4,29,53,0.354,26.0,102.4,106.0,-3.38,2016,Minnesota Timberwolves
5,73,9,0.89,—,114.9,104.1,10.38,2016,Golden State Warriors*
6,53,29,0.646,20.0,104.5,100.2,4.13,2016,Los Angeles Clippers*
7,33,49,0.402,40.0,106.6,109.1,-2.32,2016,Sacramento Kings
8,23,59,0.28,50.0,100.9,107.5,-6.32,2016,Phoenix Suns
9,17,65,0.207,56.0,97.3,106.9,-8.92,2016,Los Angeles Lakers
10,67,15,0.817,—,103.5,92.9,10.28,2016,San Antonio Spurs*
11,42,40,0.512,25.0,102.3,102.6,-0.02,2016,Dallas Mavericks*
12,42,40,0.512,25.0,99.1,101.3,-2.14,2016,Memphis Grizzlies*
13,41,41,0.5,26.0,106.5,106.4,0.34,2016,Houston Rockets*
14,30,52,0.366,37.0,102.7,106.5,-3.56,2016,New Orleans Pelicans
0,53,29,0.646,—,108.0,105.4,2.25,2017,Boston Celtics*
1,51,31,0.622,2.0,106.9,102.6,3.65,2017,Toronto Raptors*
2,31,51,0.378,22.0,104.3,108.0,-3.87,2017,New York Knicks
3,28,54,0.341,25.0,102.4,108.1,-5.83,2017,Philadelphia 76ers
4,20,62,0.244,33.0,105.8,112.5,-6.74,2017,Brooklyn Nets
5,51,31,0.622,—,110.3,107.2,2.87,2017,Cleveland Cavaliers*
6,42,40,0.512,9.0,103.6,103.8,-0.45,2017,Milwaukee Bucks*
7,42,40,0.512,9.0,105.1,105.3,-0.64,2017,Indiana Pacers*
8,41,41,0.5,10.0,102.9,102.4,0.03,2017,Chicago Bulls*
9,37,45,0.451,14.0,101.3,102.5,-1.29,2017,Detroit Pistons
10,49,33,0.598,—,109.2,107.4,1.36,2017,Washington Wizards*
11,43,39,0.524,6.0,103.2,104.0,-1.23,2017,Atlanta Hawks*
12,41,41,0.5,8.0,103.2,102.1,0.77,2017,Miami Heat
13,36,46,0.439,13.0,104.9,104.7,-0.07,2017,Charlotte Hornets
14,29,53,0.354,20.0,101.1,107.6,-6.61,2017,Orlando Magic
0,51,31,0.622,—,100.7,96.8,4.0,2017,Utah Jazz*
1,47,35,0.573,4.0,106.6,105.8,1.14,2017,Oklahoma City Thunder*
2,41,41,0.5,10.0,107.9,108.5,-0.23,2017,Portland Trail Blazers*
3,40,42,0.488,11.0,111.7,111.2,0.7,2017,Denver Nuggets
4,31,51,0.378,20.0,105.6,106.7,-0.64,2017,Minnesota Timberwolves
5,67,15,0.817,—,115.9,104.3,11.35,2017,Golden State Warriors*
6,51,31,0.622,16.0,108.7,104.4,4.42,2017,Los Angeles Clippers*
7,32,50,0.39,35.0,102.8,106.7,-3.29,2017,Sacramento Kings
8,26,56,0.317,41.0,104.6,111.5,-6.29,2017,Los Angeles Lakers
9,24,58,0.293,43.0,107.7,113.3,-5.14,2017,Phoenix Suns
10,61,21,0.744,—,105.3,98.1,7.13,2017,San Antonio Spurs*
11,55,27,0.671,6.0,115.3,109.6,5.84,2017,Houston Rockets*
12,43,39,0.524,18.0,100.5,100.0,0.96,2017,Memphis Grizzlies*
13,34,48,0.415,27.0,104.3,106.4,-1.69,2017,New Orleans Pelicans
14,33,49,0.402,28.0,97.9,100.8,-2.53,2017,Dallas Mavericks
0,59,23,0.72,—,111.7,103.9,7.29,2018,Toronto Raptors*
1,55,27,0.671,4.0,104.0,100.4,3.23,2018,Boston Celtics*
2,52,30,0.634,7.0,109.8,105.3,4.3,2018,Philadelphia 76ers*
3,29,53,0.354,30.0,104.5,108.0,-3.53,2018,New York Knicks
4,28,54,0.341,31.0,106.6,110.3,-3.67,2018,Brooklyn Nets
5,50,32,0.61,—,110.9,109.9,0.59,2018,Cleveland Cavaliers*
6,48,34,0.585,2.0,105.6,104.2,1.18,2018,Indiana Pacers*
7,44,38,0.537,6.0,106.5,106.8,-0.45,2018,Milwaukee Bucks*
8,39,43,0.476,11.0,103.8,103.9,-0.26,2018,Detroit Pistons
9,27,55,0.329,23.0,102.9,110.0,-6.84,2018,Chicago Bulls
10,44,38,0.537,—,103.4,102.9,0.15,2018,Miami Heat*
11,43,39,0.524,1.0,106.6,106.0,0.53,2018,Washington Wizards*
12,36,46,0.439,8.0,108.2,108.0,0.07,2018,Charlotte Hornets
13,25,57,0.305,19.0,103.4,108.2,-4.92,2018,Orlando Magic
14,24,58,0.293,20.0,103.4,108.8,-5.3,2018,Atlanta Hawks
0,49,33,0.598,—,105.6,103.0,2.6,2018,Portland Trail Blazers*
1,48,34,0.585,1.0,107.9,104.4,3.42,2018,Oklahoma City Thunder*
2,48,34,0.585,1.0,104.1,99.8,4.47,2018,Utah Jazz*
3,47,35,0.573,2.0,109.5,107.3,2.35,2018,Minnesota Timberwolves*
4,46,36,0.561,3.0,110.0,108.5,1.57,2018,Denver Nuggets
5,58,24,0.707,—,113.5,107.5,5.79,2018,Golden State Warriors*
6,42,40,0.512,16.0,109.0,109.0,0.15,2018,Los Angeles Clippers
7,35,47,0.427,23.0,108.1,109.6,-1.44,2018,Los Angeles Lakers
8,27,55,0.329,31.0,98.8,105.8,-6.6,2018,Sacramento Kings
9,21,61,0.256,37.0,103.9,113.3,-8.8,2018,Phoenix Suns
10,65,17,0.793,—,112.4,103.9,8.21,2018,Houston Rockets*
11,48,34,0.585,17.0,111.7,110.4,1.48,2018,New Orleans Pelicans*
12,47,35,0.573,18.0,102.7,99.8,2.89,2018,San Antonio Spurs*
13,24,58,0.293,41.0,102.3,105.4,-2.7,2018,Dallas Mavericks
14,22,60,0.268,43.0,99.3,105.5,-5.81,2018,Memphis Grizzlies
0,58,24,0.707,—,114.4,108.4,5.49,2019,Toronto Raptors*
1,51,31,0.622,7.0,115.2,112.5,2.25,2019,Philadelphia 76ers*
2,49,33,0.598,9.0,112.4,108.0,3.9,2019,Boston Celtics*
3,42,40,0.512,16.0,112.2,112.3,-0.4,2019,Brooklyn Nets*
4,17,65,0.207,41.0,104.6,113.8,-8.93,2019,New York Knicks
5,60,22,0.732,—,118.1,109.3,8.04,2019,Milwaukee Bucks*
6,48,34,0.585,12.0,108.0,104.7,2.76,2019,Indiana Pacers*
7,41,41,0.5,19.0,107.0,107.3,-0.56,2019,Detroit Pistons*
8,22,60,0.268,38.0,104.9,113.4,-8.32,2019,Chicago Bulls
9,19,63,0.232,41.0,104.5,114.1,-9.39,2019,Cleveland Cavaliers
10,42,40,0.512,—,107.3,106.6,0.28,2019,Orlando Magic*
11,39,43,0.476,3.0,110.7,111.8,-1.32,2019,Charlotte Hornets
12,39,43,0.476,3.0,105.7,105.9,-0.45,2019,Miami Heat
13,32,50,0.39,10.0,114.0,116.9,-3.3,2019,Washington Wizards
14,29,53,0.354,13.0,113.3,119.4,-6.06,2019,Atlanta Hawks
0,54,28,0.659,—,110.7,106.7,4.19,2019,Denver Nuggets*
1,53,29,0.646,1.0,114.7,110.5,4.43,2019,Portland Trail Blazers*
2,50,32,0.61,4.0,111.7,106.5,5.28,2019,Utah Jazz*
3,49,33,0.598,5.0,114.5,111.1,3.56,2019,Oklahoma City Thunder*
4,36,46,0.439,18.0,112.5,114.0,-1.02,2019,Minnesota Timberwolves
5,57,25,0.695,—,117.7,111.2,6.42,2019,Golden State Warriors*
6,48,34,0.585,9.0,115.1,114.3,1.09,2019,Los Angeles Clippers*
7,39,43,0.476,18.0,114.2,115.3,-0.81,2019,Sacramento Kings
8,37,45,0.451,20.0,111.8,113.5,-1.33,2019,Los Angeles Lakers
9,19,63,0.232,38.0,107.5,116.8,-8.61,2019,Phoenix Suns
10,53,29,0.646,—,113.9,109.1,4.96,2019,Houston Rockets*
11,48,34,0.585,5.0,111.7,110.0,1.8,2019,San Antonio Spurs*
12,33,49,0.402,20.0,103.5,106.1,-2.08,2019,Memphis Grizzlies
13,33,49,0.402,20.0,115.4,116.8,-1.1,2019,New Orleans Pelicans
14,33,49,0.402,20.0,108.9,110.1,-0.87,2019,Dallas Mavericks
0,53,19,0.736,—,112.8,106.5,5.97,2020,Toronto Raptors*
1,48,24,0.667,5.0,113.7,107.3,5.83,2020,Boston Celtics*
2,43,30,0.589,10.5,110.7,108.4,2.25,2020,Philadelphia 76ers*
3,35,37,0.486,18.0,111.8,112.3,-1.01,2020,Brooklyn Nets*
4,21,45,0.318,29.0,105.8,112.3,-6.72,2020,New York Knicks
5,56,17,0.767,—,118.7,108.6,9.41,2020,Milwaukee Bucks*
6,45,28,0.616,11.0,109.4,107.5,1.63,2020,Indiana Pacers*
7,22,43,0.338,30.0,106.8,109.9,-4.0,2020,Chicago Bulls
8,20,46,0.303,32.5,107.2,110.8,-4.38,2020,Detroit Pistons
9,19,46,0.292,33.0,106.9,114.8,-7.77,2020,Cleveland Cavaliers
10,44,29,0.603,—,112.0,109.1,2.59,2020,Miami Heat*
11,33,40,0.452,11.0,107.3,108.3,-0.93,2020,Orlando Magic*
12,23,42,0.354,17.0,102.9,109.6,-7.03,2020,Charlotte Hornets
13,25,47,0.347,18.5,114.4,119.1,-5.24,2020,Washington Wizards
14,20,47,0.299,21.0,111.8,119.7,-7.71,2020,Atlanta Hawks
0,46,27,0.63,—,111.3,109.2,2.35,2020,Denver Nuggets*
1,44,28,0.611,1.5,110.4,108.4,2.33,2020,Oklahoma City Thunder*
2,44,28,0.611,1.5,111.3,108.8,2.52,2020,Utah Jazz*
3,35,39,0.473,11.5,115.0,116.1,-0.61,2020,Portland Trail Blazers*
4,19,45,0.297,22.5,113.3,117.5,-4.02,2020,Minnesota Timberwolves
5,52,19,0.732,—,113.4,107.6,6.28,2020,Los Angeles Lakers*
6,49,23,0.681,3.5,116.3,109.9,6.66,2020,Los Angeles Clippers*
7,34,39,0.466,19.0,113.6,113.4,0.56,2020,Phoenix Suns
8,31,41,0.431,21.5,110.1,112.1,-1.59,2020,Sacramento Kings
9,15,50,0.231,34.0,106.3,115.0,-8.12,2020,Golden State Warriors
10,44,28,0.611,—,117.8,114.8,3.13,2020,Houston Rockets*
11,43,32,0.573,2.5,117.0,112.1,4.87,2020,Dallas Mavericks*
12,34,39,0.466,10.5,112.6,113.7,-0.91,2020,Memphis Grizzlies
13,32,39,0.451,11.5,114.1,115.2,-0.65,2020,San Antonio Spurs
14,30,42,0.417,14.0,115.8,117.1,-0.55,2020,New Orleans Pelicans
0,49,23,0.681,—,113.6,108.1,5.28,2021,Philadelphia 76ers*
1,48,24,0.667,1.0,118.6,114.1,4.24,2021,Brooklyn Nets*
2,41,31,0.569,8.0,107.0,104.7,2.13,2021,New York Knicks*
3,36,36,0.5,13.0,112.6,111.2,1.32,2021,Boston Celtics*
4,27,45,0.375,22.0,111.3,111.7,-0.54,2021,Toronto Raptors
5,46,26,0.639,—,120.1,114.2,5.57,2021,Milwaukee Bucks*
6,34,38,0.472,12.0,115.3,115.3,-0.13,2021,Indiana Pacers
7,31,41,0.431,15.0,110.7,111.6,-0.94,2021,Chicago Bulls
8,22,50,0.306,24.0,103.8,112.3,-8.19,2021,Cleveland Cavaliers
9,20,52,0.278,26.0,106.6,111.1,-4.38,2021,Detroit Pistons
10,41,31,0.569,—,113.7,111.4,2.14,2021,Atlanta Hawks*
11,40,32,0.556,1.0,108.1,108.0,-0.06,2021,Miami Heat*
12,34,38,0.472,7.0,116.6,118.5,-1.85,2021,Washington Wizards*
13,33,39,0.458,8.0,109.5,111.4,-1.94,2021,Charlotte Hornets
14,21,51,0.292,20.0,104.0,113.3,-9.02,2021,Orlando Magic
0,52,20,0.722,—,116.4,107.2,8.97,2021,Utah Jazz*
1,47,25,0.653,5.0,115.1,110.1,4.82,2021,Denver Nuggets*
2,42,30,0.583,10.0,116.1,114.3,1.81,2021,Portland Trail Blazers*
3,23,49,0.319,29.0,112.1,117.7,-5.25,2021,Minnesota Timberwolves
4,22,50,0.306,30.0,105.0,115.6,-10.13,2021,Oklahoma City Thunder
5,51,21,0.708,—,115.3,109.5,5.67,2021,Phoenix Suns*
6,47,25,0.653,4.0,114.0,107.8,6.02,2021,Los Angeles Clippers*
7,42,30,0.583,9.0,109.5,106.8,2.77,2021,Los Angeles Lakers*
8,39,33,0.542,12.0,113.7,112.7,1.1,2021,Golden State Warriors
9,31,41,0.431,20.0,113.7,117.4,-3.45,2021,Sacramento Kings
10,42,30,0.583,—,112.4,110.2,2.26,2021,Dallas Mavericks*
11,38,34,0.528,4.0,113.3,112.3,1.07,2021,Memphis Grizzlies*
12,33,39,0.458,9.0,111.1,112.8,-1.58,2021,San Antonio Spurs
13,31,41,0.431,11.0,114.6,114.9,-0.2,2021,New Orleans Pelicans
14,17,55,0.236,25.0,108.8,116.7,-7.5,2021,Houston Rockets
